gen,fit,rec,size,wires
0,-0.375000,1,26,34
1,-0.375000,1,26,34
2,-0.375000,1,26,34
3,-0.375000,1,26,34
4,-0.291667,0,26,36
5,-0.291667,0,26,36
6,-0.291667,0,26,36
7,-0.291667,0,26,36
8,-0.291667,0,26,36
9,-0.291667,0,26,36
10,-0.291667,0,26,36
11,-0.291667,0,26,36
12,-0.291667,0,26,36
13,-0.291667,0,26,36
14,-0.291667,0,26,36
15,-0.291667,0,26,36
16,-0.291667,0,26,36
17,-0.291667,0,26,36
18,-0.291667,0,26,36
19,-0.291667,0,26,36
20,-0.291667,0,26,36
21,-0.291667,0,26,36
22,-0.291667,0,26,36
23,-0.291667,0,26,36
24,-0.291667,0,26,36
25,-0.291667,0,26,36
26,-0.291667,0,26,36
27,-0.291667,0,26,36
28,-0.291667,0,26,36
29,-0.291667,0,26,36
30,-0.291667,0,26,36
31,-0.291667,0,26,36
32,-0.291667,0,26,36
33,-0.291667,0,26,36
34,-0.291667,0,26,36
35,-0.291667,0,26,36
36,-0.291667,0,26,36
37,-0.270833,3,26,73
38,-0.270833,3,26,73
39,-0.270833,3,26,73
40,-0.270833,3,26,73
41,-0.270833,3,26,73
42,-0.270833,3,26,73
43,-0.270833,3,26,73
44,-0.270833,3,26,73
45,-0.208333,3,26,77
46,-0.208333,3,26,77
47,-0.208333,3,26,77
48,-0.166667,3,26,80
49,-0.166667,3,26,80
50,-0.166667,3,26,80
51,-0.166667,3,26,80
52,-0.145833,3,26,84
53,-0.145833,3,26,84
54,-0.145833,3,26,84
55,-0.125000,3,26,84
56,-0.125000,3,26,84
57,-0.125000,3,26,84
58,-0.125000,3,26,84
59,-0.125000,3,26,84
60,-0.125000,3,26,84
61,-0.125000,3,26,84
62,-0.125000,3,26,84
63,-0.125000,3,26,84
64,-0.125000,3,26,84
65,-0.125000,3,26,84
66,-0.125000,3,26,84
67,-0.125000,3,26,84
68,-0.125000,3,26,84
69,-0.125000,3,26,84
70,-0.125000,3,26,84
71,-0.125000,3,26,84
72,-0.125000,3,26,84
73,-0.125000,3,26,84
74,-0.125000,3,26,84
75,-0.125000,3,26,84
76,-0.125000,3,26,84
77,-0.125000,3,26,84
78,-0.125000,3,26,84
79,-0.104167,3,26,88
80,-0.083333,3,26,90
81,-0.083333,3,26,90
82,-0.083333,3,26,90
83,-0.083333,3,26,90
84,-0.062500,3,26,91
85,-0.062500,3,26,91
86,-0.062500,3,26,91
87,-0.062500,3,26,91
88,-0.062500,3,26,91
89,-0.062500,3,26,91
90,-0.041667,3,26,94
91,-0.041667,3,26,94
92,-0.041667,3,26,94
93,-0.041667,3,26,94
94,-0.041667,3,26,94
95,-0.041667,3,26,94
96,-0.041667,3,26,94
97,-0.041667,3,26,94
98,-0.041667,3,26,94
99,-0.041667,3,26,94
100,-0.041667,3,26,94
101,-0.041667,3,26,94
102,-0.041667,3,26,94
103,-0.041667,3,26,94
104,-0.041667,3,26,94
105,-0.041667,3,26,94
106,-0.041667,3,26,94
107,-0.041667,3,26,94
108,-0.041667,3,26,94
109,-0.041667,3,26,94
110,-0.041667,3,26,94
111,-0.041667,3,26,94
112,-0.041667,3,26,94
113,-0.041667,3,26,94
114,-0.041667,3,26,94
115,-0.041667,3,26,94
116,-0.020833,4,26,120
117,-0.020833,4,26,120
118,-0.020833,4,26,120
119,-0.020833,4,26,120
120,-0.020833,4,26,120
121,-0.020833,4,26,120
122,-0.020833,4,26,120
123,-0.020833,4,26,120
124,-0.020833,4,26,120
125,-0.020833,4,26,120
126,-0.020833,4,26,120
127,-0.020833,4,26,120
128,-0.020833,4,26,120
129,-0.020833,4,26,120
130,-0.020833,4,26,120
131,-0.020833,4,26,120
132,-0.020833,4,26,120
133,-0.020833,4,26,120
134,-0.020833,4,26,120
135,-0.020833,4,26,120
136,-0.020833,4,26,120
137,-0.020833,4,26,120
138,-0.020833,4,26,120
139,-0.020833,4,26,120
140,-0.020833,4,26,120
141,-0.020833,4,26,120
142,-0.020833,4,26,120
143,-0.020833,4,26,120
144,-0.020833,4,26,120
145,-0.020833,4,26,120
146,-0.020833,4,26,120
147,-0.020833,4,26,120
148,-0.020833,4,26,120
149,-0.020833,4,26,120
150,-0.020833,4,26,120
151,-0.020833,4,26,120
152,-0.020833,4,26,120
153,-0.020833,4,26,120
154,-0.020833,4,26,120
155,-0.020833,4,26,120
156,-0.020833,4,26,120
157,-0.020833,4,26,120
158,-0.020833,4,26,120
159,-0.020833,4,26,120
160,-0.020833,4,26,120
161,-0.020833,4,26,120
162,-0.020833,4,26,120
163,-0.020833,4,26,120
164,-0.020833,4,26,120
165,-0.020833,4,26,120
166,-0.020833,4,26,120
167,-0.020833,4,26,120
168,-0.020833,4,26,120
169,-0.020833,4,26,120
170,-0.020833,4,26,120
171,-0.020833,4,26,120
172,-0.020833,4,26,120
173,-0.020833,4,26,120
174,-0.020833,4,26,120
175,-0.020833,4,26,120
176,-0.020833,4,26,120
177,-0.020833,4,26,120
178,-0.020833,4,26,120
179,-0.020833,4,26,120
180,-0.020833,4,26,120
181,-0.020833,4,26,120
182,-0.020833,4,26,120
183,-0.020833,4,26,120
184,-0.020833,4,26,120
185,-0.020833,4,26,120
186,-0.020833,4,26,120
187,-0.020833,4,26,120
188,-0.020833,4,26,120
189,-0.020833,4,26,120
190,-0.020833,4,26,120
191,-0.020833,4,26,120
192,-0.020833,4,26,120
193,-0.020833,4,26,120
194,-0.020833,4,26,120
195,-0.020833,4,26,120
196,-0.020833,4,26,120
