gen,fit,rec,size,wires
0,-0.010742,3,26,40
1,-0.010742,3,26,40
2,-0.010742,3,26,40
3,-0.010587,3,26,44
4,-0.009938,3,26,41
5,-0.009925,3,26,44
6,-0.007193,3,26,44
7,-0.004956,3,26,48
8,-0.004956,3,26,48
9,-0.004956,3,26,48
10,-0.004139,3,26,51
11,-0.004031,3,26,48
12,-0.004031,3,26,48
13,-0.004031,3,26,48
14,-0.004031,3,26,48
15,-0.003790,3,26,50
16,-0.003790,3,26,50
17,-0.003790,3,26,50
18,-0.003790,3,26,50
19,-0.003790,3,26,50
20,-0.003790,3,26,50
21,-0.003790,3,26,50
22,-0.003790,3,26,50
23,-0.003790,3,26,50
24,-0.003790,3,26,50
25,-0.003790,3,26,50
26,-0.003790,3,26,50
27,-0.003790,3,26,50
28,-0.003790,3,26,50
29,-0.003790,3,26,50
30,-0.003790,3,26,50
31,-0.003790,3,26,50
32,-0.003767,4,26,61
33,-0.003767,4,26,61
34,-0.003767,4,26,61
35,-0.003767,4,26,61
36,-0.003767,4,26,61
37,-0.003755,5,26,63
38,-0.003755,5,26,63
39,-0.003755,5,26,63
40,-0.003755,5,26,63
41,-0.003755,5,26,63
42,-0.003722,4,26,75
43,-0.003722,4,26,75
44,-0.003722,4,26,75
45,-0.003722,4,26,75
46,-0.003711,4,26,75
47,-0.003711,4,26,75
48,-0.003711,4,26,75
49,-0.003711,4,26,75
50,-0.003632,5,26,74
51,-0.003632,5,26,74
52,-0.003632,5,26,74
53,-0.003632,5,26,74
54,-0.003632,5,26,74
55,-0.003632,5,26,74
56,-0.003632,5,26,74
57,-0.003632,5,26,74
58,-0.003279,5,26,81
59,-0.003204,5,26,81
60,-0.003204,5,26,81
61,-0.003204,5,26,81
62,-0.003204,5,26,81
63,-0.003204,5,26,81
64,-0.003126,5,26,85
65,-0.003126,5,26,85
66,-0.003126,5,26,85
67,-0.003126,5,26,85
68,-0.003126,5,26,85
69,-0.003126,5,26,85
70,-0.003126,5,26,85
71,-0.003126,5,26,85
72,-0.003126,5,26,85
73,-0.003126,5,26,85
74,-0.003063,5,26,94
75,-0.003063,5,26,94
76,-0.003063,5,26,94
77,-0.003063,5,26,94
78,-0.003063,5,26,94
79,-0.003063,5,26,94
80,-0.003063,5,26,94
81,-0.003063,5,26,94
82,-0.003063,5,26,94
83,-0.003063,5,26,94
84,-0.003063,5,26,94
85,-0.003063,5,26,94
86,-0.003015,5,26,97
87,-0.003015,5,26,97
88,-0.003015,5,26,97
89,-0.003015,5,26,97
90,-0.002940,5,26,98
91,-0.002940,5,26,98
92,-0.002909,5,26,101
93,-0.002909,5,26,101
94,-0.002909,5,26,101
95,-0.002909,5,26,101
96,-0.002909,5,26,101
97,-0.002909,5,26,101
98,-0.002898,5,26,105
99,-0.002898,5,26,105
100,-0.002898,5,26,105
101,-0.002898,5,26,105
