gen,fit,rec,size,wires
0,-0.250000,1,26,34
1,-0.250000,1,26,34
2,-0.250000,1,26,34
3,-0.250000,1,26,34
4,-0.250000,1,26,34
5,-0.166667,0,26,36
6,-0.166667,0,26,36
7,-0.166667,0,26,36
8,-0.166667,0,26,36
9,-0.166667,0,26,36
10,-0.166667,0,26,36
11,-0.166667,0,26,36
12,-0.166667,0,26,36
13,-0.166667,0,26,36
14,-0.166667,0,26,36
15,-0.166667,0,26,36
16,-0.166667,0,26,36
17,-0.166667,0,26,36
18,-0.166667,0,26,36
19,-0.166667,0,26,36
20,-0.166667,0,26,36
21,-0.166667,0,26,36
22,-0.166667,0,26,36
23,-0.166667,0,26,36
24,-0.166667,0,26,36
25,-0.166667,0,26,36
26,-0.166667,0,26,36
27,-0.166667,0,26,36
28,-0.166667,0,26,36
29,-0.166667,0,26,36
30,-0.166667,0,26,36
31,-0.166667,0,26,36
32,-0.166667,0,26,36
33,-0.166667,0,26,36
34,-0.166667,0,26,36
35,-0.166667,0,26,36
36,-0.166667,0,26,36
37,-0.166667,0,26,36
38,-0.166667,0,26,36
39,-0.166667,0,26,36
40,-0.166667,0,26,36
41,-0.166667,0,26,36
42,-0.166667,0,26,36
43,-0.166667,0,26,36
44,-0.166667,0,26,36
45,-0.166667,0,26,36
46,-0.166667,0,26,36
47,-0.166667,0,26,36
48,-0.166667,0,26,36
49,-0.166667,0,26,36
50,-0.166667,0,26,36
51,-0.166667,0,26,36
52,-0.166667,0,26,36
53,-0.166667,0,26,36
54,-0.166667,0,26,36
55,-0.166667,0,26,36
56,-0.166667,0,26,36
57,-0.166667,0,26,36
58,-0.166667,0,26,36
59,-0.166667,0,26,36
60,-0.166667,0,26,36
61,-0.166667,0,26,36
62,-0.166667,0,26,36
63,-0.166667,0,26,36
64,-0.166667,0,26,36
65,-0.166667,0,26,36
66,-0.166667,0,26,36
67,-0.166667,0,26,36
68,-0.166667,0,26,36
69,-0.166667,0,26,36
70,-0.166667,0,26,36
71,-0.166667,0,26,36
72,-0.166667,0,26,36
73,-0.166667,0,26,36
74,-0.166667,0,26,36
75,-0.166667,0,26,36
76,-0.166667,0,26,36
77,-0.166667,0,26,36
78,-0.166667,0,26,36
79,-0.166667,0,26,36
80,-0.166667,0,26,36
81,-0.166667,0,26,36
82,-0.166667,0,26,36
83,-0.166667,0,26,36
84,-0.166667,0,26,36
85,-0.166667,0,26,36
86,-0.166667,0,26,36
87,-0.166667,0,26,36
88,-0.083333,2,26,87
89,-0.083333,2,26,87
90,-0.083333,2,26,87
91,-0.083333,2,26,87
92,-0.083333,2,26,87
93,-0.083333,2,26,87
94,-0.083333,2,26,87
95,-0.083333,2,26,87
96,-0.083333,2,26,87
97,-0.083333,2,26,87
98,-0.083333,2,26,87
99,-0.083333,2,26,87
100,-0.083333,2,26,87
101,-0.083333,2,26,87
102,-0.083333,2,26,87
103,-0.083333,2,26,87
104,-0.083333,2,26,87
105,-0.083333,2,26,87
106,-0.083333,2,26,87
107,-0.083333,2,26,87
108,-0.083333,2,26,87
109,-0.083333,2,26,87
110,-0.083333,2,26,87
111,-0.083333,2,26,87
112,-0.083333,2,26,87
113,-0.083333,2,26,87
114,-0.083333,2,26,87
115,-0.083333,2,26,87
116,-0.083333,2,26,87
117,-0.083333,2,26,87
118,-0.083333,2,26,87
119,-0.083333,2,26,87
120,-0.083333,2,26,87
121,-0.083333,2,26,87
122,-0.083333,2,26,87
123,-0.083333,2,26,87
124,-0.083333,2,26,87
125,-0.083333,2,26,87
126,-0.083333,2,26,87
127,-0.083333,2,26,87
128,-0.083333,2,26,87
129,-0.083333,2,26,87
130,-0.083333,2,26,87
131,-0.083333,2,26,87
132,-0.083333,2,26,87
133,-0.083333,2,26,87
134,-0.083333,2,26,87
135,-0.083333,2,26,87
136,-0.083333,2,26,87
137,-0.083333,2,26,87
138,-0.083333,2,26,87
139,-0.083333,2,26,87
140,-0.083333,2,26,87
141,-0.083333,2,26,87
142,-0.083333,2,26,87
143,-0.083333,2,26,87
144,-0.083333,2,26,87
145,-0.083333,2,26,87
146,-0.083333,2,26,87
147,-0.083333,2,26,87
148,-0.083333,2,26,87
149,-0.083333,2,26,87
150,-0.083333,2,26,87
151,-0.083333,2,26,87
152,-0.083333,2,26,87
153,-0.083333,2,26,87
154,-0.083333,2,26,87
155,-0.083333,2,26,87
156,-0.083333,2,26,87
157,-0.083333,2,26,87
158,-0.083333,2,26,87
159,-0.083333,2,26,87
160,-0.083333,2,26,87
161,-0.083333,2,26,87
162,-0.083333,2,26,87
163,-0.083333,2,26,87
164,-0.083333,2,26,87
165,-0.083333,2,26,87
