gen,fit,rec,size,wires
0,-0.375000,0,26,36
1,-0.375000,0,26,36
2,-0.375000,0,26,36
3,-0.375000,0,26,36
4,-0.312500,1,26,40
5,-0.312500,1,26,40
6,-0.312500,1,26,40
7,-0.250000,0,26,43
8,-0.250000,0,26,43
9,-0.250000,0,26,43
10,-0.187500,1,26,48
11,-0.187500,1,26,48
12,-0.187500,1,26,48
13,-0.187500,1,26,48
14,-0.187500,1,26,48
15,-0.187500,1,26,48
16,-0.187500,1,26,48
17,-0.125000,1,26,54
18,-0.125000,1,26,54
19,-0.125000,1,26,54
20,-0.125000,1,26,54
21,-0.125000,1,26,54
22,-0.125000,1,26,54
23,-0.125000,1,26,54
24,-0.125000,1,26,54
25,-0.125000,1,26,54
26,-0.125000,1,26,54
27,-0.125000,1,26,54
28,-0.125000,1,26,54
29,-0.125000,1,26,54
30,-0.125000,1,26,54
31,-0.125000,1,26,54
32,-0.125000,1,26,54
33,-0.125000,1,26,54
34,-0.125000,1,26,54
35,-0.125000,1,26,54
36,-0.125000,1,26,54
37,-0.125000,1,26,54
38,-0.125000,1,26,54
39,-0.125000,1,26,54
40,-0.125000,1,26,54
41,-0.125000,1,26,54
42,-0.125000,1,26,54
43,-0.125000,1,26,54
44,-0.125000,1,26,54
45,-0.125000,1,26,54
46,-0.125000,1,26,54
47,-0.125000,1,26,54
48,-0.125000,1,26,54
49,-0.125000,1,26,54
50,-0.125000,1,26,54
51,-0.125000,1,26,54
52,-0.125000,1,26,54
53,-0.125000,1,26,54
54,-0.125000,1,26,54
55,-0.125000,1,26,54
56,-0.125000,1,26,54
57,-0.125000,1,26,54
58,-0.125000,1,26,54
59,-0.125000,1,26,54
60,-0.125000,1,26,54
61,-0.125000,1,26,54
62,-0.125000,1,26,54
63,-0.125000,1,26,54
64,-0.125000,1,26,54
65,-0.125000,1,26,54
66,-0.125000,1,26,54
67,-0.125000,1,26,54
68,-0.125000,1,26,54
69,-0.125000,1,26,54
70,-0.125000,1,26,54
71,-0.125000,1,26,54
72,-0.125000,1,26,54
73,-0.125000,1,26,54
74,-0.125000,1,26,54
75,-0.125000,1,26,54
76,-0.125000,1,26,54
77,-0.125000,1,26,54
78,-0.125000,1,26,54
79,-0.125000,1,26,54
80,-0.125000,1,26,54
81,-0.125000,1,26,54
82,-0.125000,1,26,54
83,-0.125000,1,26,54
84,-0.125000,1,26,54
85,-0.125000,1,26,54
86,-0.125000,1,26,54
87,-0.125000,1,26,54
88,-0.125000,1,26,54
89,-0.125000,1,26,54
90,-0.125000,1,26,54
91,-0.125000,1,26,54
92,-0.125000,1,26,54
93,-0.125000,1,26,54
94,-0.125000,1,26,54
95,-0.125000,1,26,54
96,-0.125000,1,26,54
97,-0.062500,3,26,96
98,-0.062500,3,26,96
99,-0.062500,3,26,96
100,-0.062500,3,26,96
101,-0.062500,3,26,96
102,-0.062500,3,26,96
103,-0.062500,3,26,96
104,-0.062500,3,26,96
105,-0.062500,3,26,96
106,-0.062500,3,26,96
107,-0.062500,3,26,96
108,-0.062500,3,26,96
109,-0.062500,3,26,96
110,-0.062500,3,26,96
111,-0.062500,3,26,96
112,-0.062500,3,26,96
113,-0.062500,3,26,96
114,-0.062500,3,26,96
115,-0.062500,3,26,96
116,-0.062500,3,26,96
117,-0.062500,3,26,96
118,-0.062500,3,26,96
119,-0.062500,3,26,96
120,-0.062500,3,26,96
121,-0.062500,3,26,96
122,-0.062500,3,26,96
123,-0.062500,3,26,96
124,-0.062500,3,26,96
125,-0.062500,3,26,96
126,-0.062500,3,26,96
127,-0.062500,3,26,96
128,-0.062500,3,26,96
129,-0.062500,3,26,96
130,-0.062500,3,26,96
131,-0.062500,3,26,96
132,-0.062500,3,26,96
133,-0.062500,3,26,96
134,-0.062500,3,26,96
135,-0.062500,3,26,96
136,-0.062500,3,26,96
137,-0.062500,3,26,96
138,-0.062500,3,26,96
139,-0.062500,3,26,96
140,-0.062500,3,26,96
141,-0.062500,3,26,96
142,-0.062500,3,26,96
143,-0.062500,3,26,96
144,-0.062500,3,26,96
145,-0.062500,3,26,96
146,-0.062500,3,26,96
147,-0.062500,3,26,96
148,-0.062500,3,26,96
149,-0.062500,3,26,96
150,-0.062500,3,26,96
151,-0.062500,3,26,96
152,-0.062500,3,26,96
153,-0.062500,3,26,96
154,-0.062500,3,26,96
155,-0.062500,3,26,96
156,-0.000000,5,26,132
