gen,fit,rec,size,wires
0,-0.044597,2,26,40
1,-0.044597,2,26,40
2,-0.042120,0,26,44
3,-0.039117,0,26,44
4,-0.030700,2,26,55
5,-0.030700,2,26,55
6,-0.030700,2,26,55
7,-0.030700,2,26,55
8,-0.030700,2,26,55
9,-0.030700,2,26,55
10,-0.030700,2,26,55
11,-0.030700,2,26,55
12,-0.030700,2,26,55
13,-0.030700,2,26,55
14,-0.029990,2,26,58
15,-0.029990,2,26,58
16,-0.026520,2,26,62
17,-0.026520,2,26,62
18,-0.026520,2,26,62
19,-0.026362,2,26,66
20,-0.022086,2,26,65
21,-0.018276,3,26,70
22,-0.018276,3,26,70
23,-0.013606,3,26,67
24,-0.013470,3,26,68
25,-0.012379,3,26,68
26,-0.012379,3,26,68
27,-0.011416,3,26,70
28,-0.011416,3,26,70
29,-0.010246,3,26,72
30,-0.010188,3,26,72
31,-0.009530,3,26,71
32,-0.009530,3,26,71
33,-0.009373,3,26,70
34,-0.009373,3,26,70
35,-0.009329,3,26,71
36,-0.009329,3,26,71
37,-0.009329,3,26,71
38,-0.009329,3,26,71
39,-0.009329,3,26,71
40,-0.009329,3,26,71
41,-0.009329,3,26,71
42,-0.009329,3,26,71
43,-0.009329,3,26,71
44,-0.009329,3,26,71
45,-0.008939,4,26,81
46,-0.008939,4,26,81
47,-0.008939,4,26,81
48,-0.008939,4,26,81
49,-0.008939,4,26,81
50,-0.008597,4,26,88
51,-0.008597,4,26,88
52,-0.008597,4,26,88
53,-0.008597,4,26,88
54,-0.008548,4,26,94
55,-0.008514,4,26,91
56,-0.008514,4,26,91
57,-0.008495,4,26,93
58,-0.008495,4,26,93
59,-0.008495,4,26,93
60,-0.008495,4,26,93
61,-0.008495,4,26,93
62,-0.008495,4,26,93
63,-0.008495,4,26,93
64,-0.008495,4,26,93
65,-0.008495,4,26,93
66,-0.008470,4,26,101
67,-0.008470,4,26,101
68,-0.008470,4,26,101
69,-0.008470,4,26,101
70,-0.008470,4,26,101
71,-0.008355,5,26,105
72,-0.008327,5,26,105
73,-0.008327,5,26,105
74,-0.008327,5,26,105
75,-0.008327,5,26,105
76,-0.008327,5,26,105
77,-0.008327,5,26,105
78,-0.008327,5,26,105
79,-0.008327,5,26,105
