gen,fit,rec,size,wires
0,-0.250000,1,26,38
1,-0.250000,1,26,38
2,-0.250000,1,26,38
3,-0.250000,1,26,38
4,-0.250000,1,26,38
5,-0.250000,1,26,38
6,-0.250000,1,26,38
7,-0.250000,1,26,38
8,-0.125000,1,26,46
9,-0.125000,1,26,46
10,-0.125000,1,26,46
11,-0.125000,1,26,46
12,-0.125000,1,26,46
13,-0.125000,1,26,46
14,-0.125000,1,26,46
15,-0.125000,1,26,46
16,-0.125000,1,26,46
17,-0.125000,1,26,46
18,-0.125000,1,26,46
19,-0.125000,1,26,46
20,-0.125000,1,26,46
21,-0.125000,1,26,46
22,-0.125000,1,26,46
23,-0.125000,1,26,46
24,-0.125000,1,26,46
25,-0.125000,1,26,46
26,-0.125000,1,26,46
27,-0.125000,1,26,46
28,-0.125000,1,26,46
29,-0.125000,1,26,46
30,-0.125000,1,26,46
31,-0.125000,1,26,46
32,-0.125000,1,26,46
33,-0.125000,1,26,46
34,-0.125000,1,26,46
35,-0.125000,1,26,46
36,-0.125000,1,26,46
37,-0.125000,1,26,46
38,-0.125000,1,26,46
39,-0.125000,1,26,46
40,-0.125000,1,26,46
41,-0.125000,1,26,46
42,-0.125000,1,26,46
43,-0.125000,1,26,46
44,-0.000000,2,26,76
