gen,fit,rec,size,wires
0,-0.050436,3,26,37
1,-0.050436,3,26,37
2,-0.050436,3,26,37
3,-0.050436,3,26,37
4,-0.045768,2,26,44
5,-0.036082,3,26,42
6,-0.035167,2,26,47
7,-0.022303,3,26,42
8,-0.022303,3,26,42
9,-0.022303,3,26,42
10,-0.022303,3,26,42
11,-0.022303,3,26,42
12,-0.022266,2,26,43
13,-0.021036,2,26,50
14,-0.021036,2,26,50
15,-0.020082,2,26,53
16,-0.020082,2,26,53
17,-0.020082,2,26,53
18,-0.020082,2,26,53
19,-0.019689,2,26,53
20,-0.019548,2,26,58
21,-0.019049,0,12,19
22,-0.018987,0,12,20
23,-0.018557,2,26,60
24,-0.015653,1,12,20
25,-0.015653,1,12,20
26,-0.015653,1,12,20
27,-0.015653,1,12,20
28,-0.015592,2,12,26
29,-0.014989,2,12,27
30,-0.014989,2,12,27
31,-0.014989,2,12,27
32,-0.014989,2,12,27
33,-0.014989,2,12,27
34,-0.014854,2,12,30
35,-0.014685,3,12,31
36,-0.013808,2,12,30
37,-0.013808,2,12,30
38,-0.013656,3,12,34
39,-0.013656,3,12,34
40,-0.013656,3,12,34
41,-0.013656,3,12,34
42,-0.013656,3,12,34
43,-0.013656,3,12,34
44,-0.013607,3,12,36
45,-0.013131,5,12,39
46,-0.013131,5,12,39
47,-0.013131,5,12,39
48,-0.012342,3,12,40
49,-0.012342,3,12,40
50,-0.011835,3,12,34
51,-0.011835,3,12,34
52,-0.011819,5,12,41
53,-0.011722,5,12,38
54,-0.011722,5,12,38
55,-0.011722,5,12,38
56,-0.011619,5,12,37
57,-0.010634,5,12,40
58,-0.010140,3,12,41
59,-0.009504,4,12,45
60,-0.009504,4,12,45
61,-0.007591,5,12,43
62,-0.007200,4,12,47
63,-0.007200,4,12,47
64,-0.006910,5,12,49
65,-0.006662,5,12,47
66,-0.006662,5,12,47
67,-0.006662,5,12,47
68,-0.006254,4,12,49
69,-0.006254,4,12,49
70,-0.006254,4,12,49
71,-0.006254,4,12,49
72,-0.006254,4,12,49
73,-0.005820,4,12,54
74,-0.005820,4,12,54
75,-0.005585,5,12,58
76,-0.005585,5,12,58
77,-0.005585,5,12,58
78,-0.005460,5,12,58
79,-0.005460,5,12,58
80,-0.005460,5,12,58
81,-0.005254,5,12,56
82,-0.005254,5,12,56
83,-0.005254,5,12,56
84,-0.005254,5,12,56
85,-0.005254,5,12,56
86,-0.005254,5,12,56
87,-0.005254,5,12,56
88,-0.005254,5,12,56
89,-0.005254,5,12,56
90,-0.005254,5,12,56
91,-0.005206,5,12,57
92,-0.005178,6,12,60
93,-0.005178,6,12,60
94,-0.004954,7,12,61
95,-0.004954,7,12,61
96,-0.004828,7,12,64
97,-0.004828,7,12,64
98,-0.004695,6,12,63
