gen,fit,rec,size,wires
0,-0.375000,2,26,36
1,-0.375000,2,26,36
2,-0.375000,2,26,36
3,-0.375000,2,26,36
4,-0.375000,2,26,36
5,-0.375000,2,26,36
6,-0.375000,2,26,36
7,-0.375000,2,26,36
8,-0.375000,2,26,36
9,-0.375000,2,26,36
10,-0.343750,1,26,46
11,-0.343750,1,26,46
12,-0.343750,1,26,46
13,-0.343750,1,26,46
14,-0.312500,1,26,51
15,-0.312500,1,26,51
16,-0.312500,1,26,51
17,-0.281250,1,26,51
18,-0.281250,1,26,51
19,-0.281250,1,26,51
20,-0.250000,1,26,51
21,-0.250000,1,26,51
22,-0.250000,1,26,51
23,-0.250000,1,26,51
24,-0.250000,1,26,51
25,-0.250000,1,26,51
26,-0.250000,1,26,51
27,-0.250000,1,26,51
28,-0.250000,1,26,51
29,-0.250000,1,26,51
30,-0.250000,1,26,51
31,-0.250000,1,26,51
32,-0.250000,1,26,51
33,-0.250000,1,26,51
34,-0.250000,1,26,51
35,-0.250000,1,26,51
36,-0.250000,1,26,51
37,-0.250000,1,26,51
38,-0.250000,1,26,51
39,-0.250000,1,26,51
40,-0.250000,1,26,51
41,-0.218750,1,26,64
42,-0.218750,1,26,64
43,-0.218750,1,26,64
44,-0.218750,1,26,64
45,-0.218750,1,26,64
46,-0.187500,2,26,65
47,-0.187500,2,26,65
48,-0.187500,2,26,65
49,-0.156250,2,26,68
50,-0.156250,2,26,68
51,-0.156250,2,26,68
52,-0.156250,2,26,68
53,-0.156250,2,26,68
54,-0.156250,2,26,68
55,-0.156250,2,26,68
56,-0.156250,2,26,68
57,-0.156250,2,26,68
58,-0.156250,2,26,68
59,-0.156250,2,26,68
60,-0.140625,2,26,74
61,-0.140625,2,26,74
62,-0.140625,2,26,74
63,-0.140625,2,26,74
64,-0.140625,2,26,74
65,-0.140625,2,26,74
66,-0.140625,2,26,74
67,-0.140625,2,26,74
68,-0.140625,2,26,74
69,-0.140625,2,26,74
70,-0.140625,2,26,74
71,-0.140625,2,26,74
72,-0.140625,2,26,74
73,-0.125000,4,26,88
74,-0.125000,4,26,88
75,-0.078125,2,26,84
76,-0.078125,2,26,84
77,-0.078125,2,26,84
78,-0.078125,2,26,84
79,-0.078125,2,26,84
80,-0.078125,2,26,84
81,-0.062500,3,26,93
82,-0.062500,3,26,93
83,-0.062500,3,26,93
84,-0.062500,3,26,93
85,-0.062500,3,26,93
86,-0.062500,3,26,93
87,-0.062500,3,26,93
88,-0.062500,3,26,93
89,-0.062500,3,26,93
90,-0.062500,3,26,93
91,-0.062500,3,26,93
92,-0.062500,3,26,93
93,-0.062500,3,26,93
94,-0.031250,3,26,98
95,-0.031250,3,26,98
96,-0.031250,3,26,98
97,-0.031250,3,26,98
98,-0.031250,3,26,98
99,-0.031250,3,26,98
100,-0.031250,3,26,98
101,-0.031250,3,26,98
102,-0.031250,3,26,98
103,-0.031250,3,26,98
104,-0.031250,3,26,98
105,-0.031250,3,26,98
106,-0.031250,3,26,98
107,-0.031250,3,26,98
108,-0.015625,3,26,110
109,-0.015625,3,26,110
110,-0.015625,3,26,110
111,-0.015625,3,26,110
112,-0.015625,3,26,110
113,-0.015625,3,26,110
114,-0.015625,3,26,110
115,-0.015625,3,26,110
116,-0.015625,3,26,110
117,-0.015625,3,26,110
118,-0.000000,4,26,117
