gen,fit,rec,size,wires
0,-0.500000,0,26,37
1,-0.500000,0,26,37
2,-0.500000,0,26,37
3,-0.500000,0,26,37
4,-0.500000,0,26,37
5,-0.500000,0,26,37
6,-0.500000,0,26,37
7,-0.500000,0,26,37
8,-0.500000,0,26,37
9,-0.500000,0,26,37
10,-0.500000,0,26,37
11,-0.500000,0,26,37
12,-0.500000,0,26,37
13,-0.500000,0,26,37
14,-0.500000,0,26,37
15,-0.500000,0,26,37
16,-0.500000,0,26,37
17,-0.500000,0,26,37
18,-0.500000,0,26,37
19,-0.500000,0,26,37
20,-0.500000,0,26,37
21,-0.500000,0,26,37
22,-0.500000,0,26,37
23,-0.500000,0,26,37
24,-0.500000,0,26,37
25,-0.500000,0,26,37
26,-0.500000,0,26,37
27,-0.500000,0,26,37
28,-0.500000,0,26,37
29,-0.500000,0,26,37
30,-0.500000,0,26,37
31,-0.500000,0,26,37
32,-0.500000,0,26,37
33,-0.500000,0,26,37
34,-0.500000,0,26,37
35,-0.500000,0,26,37
36,-0.500000,0,26,37
37,-0.500000,0,26,37
38,-0.500000,0,26,37
39,-0.500000,0,26,37
40,-0.500000,0,26,37
41,-0.500000,0,26,37
42,-0.500000,0,26,37
43,-0.500000,0,26,37
44,-0.500000,0,26,37
45,-0.500000,0,26,37
46,-0.484375,1,8,13
47,-0.484375,1,8,13
48,-0.484375,1,8,13
49,-0.484375,1,8,13
50,-0.484375,1,8,13
51,-0.484375,1,8,13
52,-0.484375,1,8,13
53,-0.468750,1,8,15
54,-0.453125,1,8,14
55,-0.453125,1,8,14
56,-0.453125,1,8,14
57,-0.453125,1,8,14
58,-0.421875,1,8,19
59,-0.421875,1,8,19
60,-0.406250,1,8,24
61,-0.406250,1,8,24
62,-0.406250,1,8,24
63,-0.390625,1,8,22
64,-0.375000,2,8,22
65,-0.375000,2,8,22
66,-0.375000,2,8,22
67,-0.359375,1,8,23
68,-0.359375,1,8,23
69,-0.359375,1,8,23
70,-0.359375,1,8,23
71,-0.343750,1,8,26
72,-0.328125,2,8,28
73,-0.296875,2,8,26
74,-0.296875,2,8,26
75,-0.281250,2,8,29
76,-0.281250,2,8,29
77,-0.265625,3,8,30
78,-0.265625,3,8,30
79,-0.265625,3,8,30
80,-0.265625,3,8,30
81,-0.250000,3,8,29
82,-0.250000,3,8,29
83,-0.250000,3,8,29
84,-0.250000,3,8,29
85,-0.250000,3,8,29
86,-0.250000,3,8,29
87,-0.250000,3,8,29
88,-0.250000,3,8,29
89,-0.234375,5,8,34
90,-0.234375,5,8,34
91,-0.234375,5,8,34
92,-0.234375,5,8,34
93,-0.234375,5,8,34
94,-0.234375,5,8,34
95,-0.234375,5,8,34
96,-0.234375,5,8,34
97,-0.234375,5,8,34
98,-0.234375,5,8,34
99,-0.234375,5,8,34
100,-0.234375,5,8,34
101,-0.234375,5,8,34
102,-0.234375,5,8,34
103,-0.234375,5,8,34
104,-0.234375,5,8,34
105,-0.234375,5,8,34
106,-0.234375,5,8,34
107,-0.218750,6,8,37
108,-0.218750,6,8,37
109,-0.218750,6,8,37
110,-0.218750,6,8,37
111,-0.218750,6,8,37
112,-0.218750,6,8,37
113,-0.218750,6,8,37
114,-0.218750,6,8,37
115,-0.218750,6,8,37
116,-0.218750,6,8,37
117,-0.218750,6,8,37
118,-0.218750,6,8,37
119,-0.218750,6,8,37
120,-0.218750,6,8,37
121,-0.218750,6,8,37
122,-0.218750,6,8,37
123,-0.218750,6,8,37
124,-0.218750,6,8,37
125,-0.218750,6,8,37
126,-0.203125,6,8,43
127,-0.203125,6,8,43
128,-0.203125,6,8,43
129,-0.203125,6,8,43
130,-0.203125,6,8,43
131,-0.203125,6,8,43
132,-0.187500,5,8,38
133,-0.187500,5,8,38
134,-0.187500,5,8,38
135,-0.187500,5,8,38
136,-0.187500,5,8,38
137,-0.187500,5,8,38
138,-0.187500,5,8,38
139,-0.171875,6,8,42
140,-0.171875,6,8,42
141,-0.171875,6,8,42
142,-0.171875,6,8,42
143,-0.171875,6,8,42
144,-0.171875,6,8,42
145,-0.171875,6,8,42
146,-0.171875,6,8,42
147,-0.171875,6,8,42
148,-0.171875,6,8,42
149,-0.171875,6,8,42
150,-0.171875,6,8,42
151,-0.171875,6,8,42
152,-0.171875,6,8,42
153,-0.171875,6,8,42
154,-0.171875,6,8,42
155,-0.171875,6,8,42
156,-0.156250,6,8,43
157,-0.156250,6,8,43
158,-0.156250,6,8,43
159,-0.156250,6,8,43
160,-0.156250,6,8,43
161,-0.156250,6,8,43
162,-0.156250,6,8,43
163,-0.156250,6,8,43
164,-0.156250,6,8,43
165,-0.156250,6,8,43
166,-0.156250,6,8,43
167,-0.156250,6,8,43
168,-0.156250,6,8,43
169,-0.156250,6,8,43
170,-0.156250,6,8,43
171,-0.156250,6,8,43
172,-0.156250,6,8,43
173,-0.156250,6,8,43
174,-0.156250,6,8,43
175,-0.156250,6,8,43
176,-0.156250,6,8,43
177,-0.156250,6,8,43
178,-0.156250,6,8,43
179,-0.156250,6,8,43
180,-0.156250,6,8,43
181,-0.156250,6,8,43
182,-0.156250,6,8,43
183,-0.156250,6,8,43
184,-0.156250,6,8,43
185,-0.156250,6,8,43
186,-0.156250,6,8,43
187,-0.156250,6,8,43
188,-0.156250,6,8,43
189,-0.156250,6,8,43
190,-0.156250,6,8,43
191,-0.156250,6,8,43
192,-0.156250,6,8,43
193,-0.156250,6,8,43
194,-0.156250,6,8,43
195,-0.156250,6,8,43
