gen,fit,rec,size,wires
0,-0.037795,0,26,44
1,-0.034695,2,26,38
2,-0.034695,2,26,38
3,-0.028351,1,26,36
4,-0.028351,1,26,36
5,-0.028351,1,26,36
6,-0.028197,1,26,40
7,-0.028197,1,26,40
8,-0.027669,1,26,41
9,-0.027669,1,26,41
10,-0.027357,1,26,46
11,-0.027234,1,26,42
12,-0.027234,1,26,42
13,-0.027159,1,26,46
14,-0.027159,1,26,46
15,-0.027159,1,26,46
16,-0.027159,1,26,46
17,-0.027105,1,26,49
18,-0.027105,1,26,49
19,-0.026740,1,26,44
20,-0.026740,1,26,44
21,-0.026599,0,14,25
22,-0.026599,0,14,25
23,-0.026599,0,14,25
24,-0.026499,0,14,23
25,-0.026499,0,14,23
26,-0.026499,0,14,23
27,-0.026499,0,14,23
28,-0.026499,0,14,23
29,-0.026499,0,14,23
30,-0.026499,0,14,23
31,-0.026499,0,14,23
32,-0.026499,0,14,23
33,-0.026499,0,14,23
34,-0.026499,0,14,23
35,-0.026499,0,14,23
36,-0.026445,1,14,34
37,-0.026445,1,14,34
38,-0.026445,1,14,34
39,-0.026349,2,14,37
40,-0.026153,0,14,44
41,-0.026153,0,14,44
42,-0.026153,0,14,44
43,-0.026118,2,13,38
44,-0.025492,2,13,35
45,-0.025492,2,13,35
46,-0.025457,1,13,34
47,-0.025330,2,13,38
48,-0.025330,2,13,38
49,-0.025330,2,13,38
50,-0.025275,1,13,35
51,-0.025275,1,13,35
52,-0.025275,1,13,35
53,-0.025275,1,13,35
54,-0.025275,1,13,35
55,-0.025275,1,13,35
56,-0.025275,1,13,35
57,-0.025275,1,13,35
58,-0.025275,1,13,35
59,-0.023979,1,13,40
60,-0.023606,1,13,41
61,-0.023606,1,13,41
62,-0.023606,1,13,41
63,-0.023606,1,13,41
64,-0.023606,1,13,41
65,-0.023606,1,13,41
66,-0.023606,1,13,41
67,-0.023606,1,13,41
68,-0.023606,1,13,41
69,-0.023606,1,13,41
70,-0.023606,1,13,41
71,-0.023606,1,13,41
72,-0.023606,1,13,41
73,-0.023606,1,13,41
74,-0.023606,1,13,41
75,-0.023606,1,13,41
76,-0.023606,1,13,41
77,-0.023606,1,13,41
78,-0.023606,1,13,41
79,-0.023606,1,13,41
80,-0.023606,1,13,41
81,-0.023606,1,13,41
82,-0.023606,1,13,41
83,-0.023606,1,13,41
84,-0.023606,1,13,41
85,-0.023606,1,13,41
86,-0.023606,1,13,41
87,-0.023606,1,13,41
88,-0.023606,1,13,41
89,-0.023606,1,13,41
90,-0.022911,3,13,59
91,-0.022911,3,13,59
92,-0.022911,3,13,59
93,-0.019464,3,13,63
94,-0.019464,3,13,63
95,-0.019036,3,13,64
96,-0.018914,3,13,65
97,-0.018914,3,13,65
98,-0.018914,3,13,65
99,-0.018887,4,13,72
100,-0.018729,3,13,65
101,-0.018729,3,13,65
102,-0.018604,3,13,66
103,-0.018604,3,13,66
104,-0.018604,3,13,66
105,-0.018604,3,13,66
106,-0.018604,3,13,66
107,-0.018483,5,13,72
108,-0.018483,5,13,72
109,-0.018448,3,13,70
110,-0.018448,3,13,70
111,-0.018341,4,13,70
112,-0.018341,4,13,70
113,-0.018234,5,13,73
114,-0.018234,5,13,73
115,-0.018234,5,13,73
116,-0.018042,4,13,74
117,-0.018042,4,13,74
118,-0.018023,4,13,75
119,-0.018023,4,13,75
120,-0.018005,6,13,75
121,-0.018005,6,13,75
122,-0.018005,6,13,75
123,-0.018005,6,13,75
124,-0.018005,6,13,75
125,-0.018005,6,13,75
126,-0.018005,6,13,75
127,-0.018005,6,13,75
128,-0.018005,6,13,75
129,-0.018005,6,13,75
130,-0.018005,6,13,75
131,-0.018005,6,13,75
132,-0.018005,6,13,75
133,-0.018005,6,13,75
134,-0.018005,6,13,75
135,-0.018005,6,13,75
136,-0.018005,6,13,75
137,-0.018005,6,13,75
138,-0.018005,6,13,75
139,-0.018005,6,13,75
140,-0.018005,6,13,75
141,-0.018005,6,13,75
142,-0.018005,6,13,75
143,-0.018005,6,13,75
144,-0.018005,6,13,75
145,-0.018005,6,13,75
146,-0.018005,6,13,75
147,-0.018005,6,13,75
148,-0.018005,6,13,75
149,-0.018005,6,13,75
150,-0.018005,6,13,75
151,-0.018005,6,13,75
152,-0.018005,6,13,75
153,-0.018005,6,13,75
154,-0.018005,6,13,75
155,-0.017961,8,13,84
156,-0.017897,8,13,87
157,-0.017897,8,13,87
158,-0.017866,6,13,82
159,-0.017866,6,13,82
160,-0.017866,6,13,82
161,-0.017866,6,13,82
162,-0.017866,6,13,82
163,-0.017866,6,13,82
164,-0.017866,6,13,82
165,-0.017866,6,13,82
166,-0.017866,6,13,82
167,-0.017866,6,13,82
168,-0.017866,6,13,82
169,-0.017866,6,13,82
170,-0.017813,6,13,90
171,-0.017813,6,13,90
172,-0.017813,6,13,90
173,-0.017813,6,13,90
174,-0.017813,6,13,90
175,-0.017813,6,13,90
176,-0.017813,6,13,90
177,-0.013125,8,13,94
178,-0.013125,8,13,94
179,-0.012985,7,13,93
180,-0.011079,8,13,94
181,-0.009924,8,13,95
182,-0.008832,8,13,94
183,-0.008832,8,13,94
184,-0.008317,7,13,95
185,-0.008317,7,13,95
186,-0.008230,7,13,94
187,-0.008177,8,13,97
188,-0.008159,8,13,97
189,-0.008074,8,13,98
190,-0.007272,7,13,97
191,-0.007272,7,13,97
192,-0.007272,7,13,97
193,-0.007272,7,13,97
194,-0.007272,7,13,97
195,-0.007114,8,13,99
196,-0.007114,8,13,99
197,-0.007114,8,13,99
198,-0.007114,8,13,99
199,-0.007114,8,13,99
200,-0.006603,9,13,99
201,-0.006603,9,13,99
202,-0.006603,9,13,99
203,-0.006603,9,13,99
204,-0.006603,9,13,99
205,-0.006603,9,13,99
206,-0.006603,9,13,99
207,-0.006603,9,13,99
208,-0.006603,9,13,99
209,-0.006603,9,13,99
210,-0.006603,9,13,99
211,-0.006603,9,13,99
212,-0.006603,9,13,99
213,-0.006603,9,13,99
214,-0.006576,8,13,101
215,-0.006576,8,13,101
216,-0.006576,8,13,101
217,-0.006576,8,13,101
218,-0.006576,8,13,101
219,-0.006576,8,13,101
220,-0.006576,8,13,101
221,-0.006576,8,13,101
222,-0.006576,8,13,101
223,-0.006576,8,13,101
224,-0.006576,8,13,101
225,-0.006576,8,13,101
226,-0.006576,8,13,101
227,-0.006576,8,13,101
228,-0.006576,8,13,101
229,-0.006576,8,13,101
230,-0.006576,8,13,101
231,-0.006576,8,13,101
232,-0.006576,8,13,101
233,-0.006576,8,13,101
234,-0.006532,8,13,99
235,-0.006532,8,13,99
236,-0.006532,8,13,99
237,-0.006532,8,13,99
238,-0.006532,8,13,99
239,-0.006532,8,13,99
240,-0.006532,8,13,99
241,-0.006532,8,13,99
242,-0.006532,8,13,99
243,-0.006521,9,13,97
244,-0.006521,9,13,97
245,-0.006521,9,13,97
246,-0.006490,9,13,107
247,-0.006490,9,13,107
248,-0.006490,9,13,107
249,-0.006490,9,13,107
250,-0.006490,9,13,107
251,-0.006490,9,13,107
252,-0.006490,9,13,107
253,-0.006490,9,13,107
254,-0.006472,8,13,103
255,-0.006472,8,13,103
256,-0.006472,8,13,103
257,-0.006472,8,13,103
258,-0.006472,8,13,103
259,-0.006472,8,13,103
260,-0.006460,8,13,103
261,-0.006460,8,13,103
262,-0.006460,8,13,103
263,-0.006460,8,13,103
264,-0.006460,8,13,103
265,-0.006460,8,13,103
266,-0.006460,8,13,103
