gen,fit,rec,size,wires
0,-0.187500,0,26,28
1,-0.187500,0,26,28
2,-0.156250,1,26,40
3,-0.156250,1,26,40
4,-0.156250,1,26,40
5,-0.156250,1,26,40
6,-0.156250,1,26,40
7,-0.156250,1,26,40
8,-0.156250,1,26,40
9,-0.140625,1,26,48
10,-0.140625,1,26,48
11,-0.140625,1,26,48
12,-0.140625,1,26,48
13,-0.140625,1,26,48
14,-0.140625,1,26,48
15,-0.140625,1,26,48
16,-0.140625,1,26,48
17,-0.140625,1,26,48
18,-0.140625,1,26,48
19,-0.140625,1,26,48
20,-0.125000,1,26,53
21,-0.125000,1,26,53
22,-0.125000,1,26,53
23,-0.125000,1,26,53
24,-0.125000,1,26,53
25,-0.125000,1,26,53
26,-0.125000,1,26,53
27,-0.125000,1,26,53
28,-0.109375,1,26,53
29,-0.109375,1,26,53
30,-0.109375,1,26,53
31,-0.109375,1,26,53
32,-0.109375,1,26,53
33,-0.109375,1,26,53
34,-0.109375,1,26,53
35,-0.109375,1,26,53
36,-0.109375,1,26,53
37,-0.109375,1,26,53
38,-0.109375,1,26,53
39,-0.109375,1,26,53
40,-0.109375,1,26,53
41,-0.109375,1,26,53
42,-0.109375,1,26,53
43,-0.093750,3,26,74
44,-0.093750,3,26,74
45,-0.093750,3,26,74
46,-0.078125,2,26,69
47,-0.078125,2,26,69
48,-0.078125,2,26,69
49,-0.078125,2,26,69
50,-0.062500,1,26,78
51,-0.062500,1,26,78
52,-0.062500,1,26,78
53,-0.062500,1,26,78
54,-0.062500,1,26,78
55,-0.062500,1,26,78
56,-0.062500,1,26,78
57,-0.062500,1,26,78
58,-0.062500,1,26,78
59,-0.062500,1,26,78
60,-0.062500,1,26,78
61,-0.062500,1,26,78
62,-0.062500,1,26,78
63,-0.062500,1,26,78
64,-0.062500,1,26,78
65,-0.062500,1,26,78
66,-0.062500,1,26,78
67,-0.062500,1,26,78
68,-0.062500,1,26,78
69,-0.062500,1,26,78
70,-0.062500,1,26,78
71,-0.062500,1,26,78
72,-0.062500,1,26,78
73,-0.062500,1,26,78
74,-0.062500,1,26,78
75,-0.062500,1,26,78
76,-0.062500,1,26,78
77,-0.062500,1,26,78
78,-0.062500,1,26,78
79,-0.062500,1,26,78
80,-0.062500,1,26,78
81,-0.062500,1,26,78
82,-0.062500,1,26,78
83,-0.062500,1,26,78
84,-0.062500,1,26,78
85,-0.062500,1,26,78
86,-0.046875,2,26,96
87,-0.046875,2,26,96
88,-0.046875,2,26,96
