==============================================================================
BENCHMARK SUITE v2 SUMMARY
seed = 42   total time = 499.6s
==============================================================================

problem      kind               fit    acc/RMSE  size  rec  wires    time status  
------------------------------------------------------------------------------
xor2         boolean       -0.00000        100%     8    1     17    1.0s SOLVED  
xor3         boolean       -0.00000        100%     9    6     46    2.3s SOLVED  
parity4      boolean       -0.00000        100%    10    5     42    2.1s SOLVED  
parity6      boolean       -0.04688         95%     8    5     41   48.5s PARTIAL 
majority3    boolean       -0.00000        100%    26    2     76    1.1s SOLVED  
majority5    boolean       -0.00000        100%    26    9    201   12.1s SOLVED  
full_adder   boolean       -0.00000        100%    26    5    132    3.9s SOLVED  
adder2bit    boolean       -0.00000        100%    26    6    192   11.7s SOLVED  
comparator   boolean       -0.00000        100%    27    6    168    6.1s SOLVED  
mux4to1      boolean       -0.00000        100%    26    4    117    6.8s SOLVED  
sort4        boolean       -0.00000        100%    26    6    219   14.0s SOLVED  
sin2pi       regression    -0.00216      0.0465    18   12    175   46.8s SOLVED  
sin4pi       regression    -0.00623      0.0789    13   11    126   40.1s PARTIAL 
circle       regression    -0.00020      0.0143    26   12    262   31.7s SOLVED  
gaussian     regression    -0.00076      0.0275    27   14    357   57.7s SOLVED  
multiply     regression    -0.00064      0.0254    13   10    129   41.3s SOLVED  
