gen,fit,rec,size,wires
0,-0.500000,0,26,37
1,-0.500000,0,26,37
2,-0.500000,0,26,37
3,-0.500000,0,26,37
4,-0.500000,0,26,37
5,-0.500000,0,26,37
6,-0.500000,0,26,37
7,-0.500000,0,26,37
8,-0.500000,0,26,37
9,-0.500000,0,26,37
10,-0.500000,0,26,37
11,-0.375000,1,26,47
12,-0.375000,1,26,47
13,-0.375000,1,26,47
14,-0.250000,1,26,52
15,-0.250000,1,26,52
16,-0.250000,1,26,52
17,-0.250000,1,26,52
18,-0.250000,1,26,52
19,-0.250000,1,26,52
20,-0.250000,1,26,52
21,-0.250000,1,26,52
22,-0.250000,1,26,52
23,-0.250000,1,26,52
24,-0.250000,1,26,52
25,-0.250000,1,26,52
26,-0.250000,1,26,52
27,-0.250000,1,26,52
28,-0.250000,1,26,52
29,-0.250000,1,26,52
30,-0.250000,1,26,52
31,-0.250000,1,26,52
32,-0.250000,1,26,52
33,-0.250000,1,26,52
34,-0.250000,1,26,52
35,-0.250000,1,26,52
36,-0.250000,1,26,52
37,-0.250000,1,26,52
38,-0.125000,2,9,27
39,-0.125000,2,9,27
40,-0.125000,2,9,27
41,-0.125000,2,9,27
42,-0.125000,2,9,27
43,-0.125000,2,9,27
44,-0.125000,2,9,27
45,-0.125000,2,9,27
46,-0.125000,2,9,27
47,-0.125000,2,9,27
48,-0.125000,2,9,27
49,-0.125000,2,9,27
50,-0.125000,2,9,27
51,-0.125000,2,9,27
52,-0.125000,2,9,27
53,-0.125000,2,9,27
54,-0.125000,2,9,27
55,-0.125000,2,9,27
56,-0.125000,2,9,27
57,-0.125000,2,9,27
58,-0.125000,2,9,27
59,-0.125000,2,9,27
60,-0.125000,2,9,27
61,-0.125000,2,9,27
62,-0.125000,2,9,27
63,-0.125000,2,9,27
64,-0.125000,2,9,27
65,-0.125000,2,9,27
66,-0.125000,2,9,27
67,-0.125000,2,9,27
68,-0.125000,2,9,27
69,-0.125000,2,9,27
70,-0.125000,2,9,27
71,-0.125000,2,9,27
72,-0.125000,2,9,27
73,-0.125000,2,9,27
74,-0.125000,2,9,27
75,-0.125000,2,9,27
76,-0.125000,2,9,27
77,-0.125000,2,9,27
78,-0.125000,2,9,27
79,-0.125000,2,9,27
80,-0.125000,2,9,27
81,-0.125000,2,9,27
82,-0.125000,2,9,27
83,-0.125000,2,9,27
84,-0.125000,2,9,27
85,-0.125000,2,9,27
86,-0.125000,2,9,27
87,-0.125000,2,9,27
88,-0.125000,2,9,27
89,-0.125000,2,9,27
90,-0.125000,2,9,27
91,-0.125000,2,9,27
92,-0.125000,2,9,27
93,-0.125000,2,9,27
94,-0.125000,2,9,27
95,-0.125000,2,9,27
96,-0.125000,2,9,27
97,-0.125000,2,9,27
98,-0.125000,2,9,27
99,-0.125000,2,9,27
100,-0.125000,2,9,27
101,-0.125000,2,9,27
102,-0.125000,2,9,27
103,-0.125000,2,9,27
104,-0.125000,2,9,27
105,-0.125000,2,9,27
106,-0.125000,2,9,27
107,-0.125000,2,9,27
108,-0.125000,2,9,27
109,-0.125000,2,9,27
110,-0.125000,2,9,27
111,-0.125000,2,9,27
112,-0.125000,2,9,27
113,-0.125000,2,9,27
114,-0.125000,2,9,27
115,-0.125000,2,9,27
116,-0.125000,2,9,27
117,-0.125000,2,9,27
118,-0.125000,2,9,27
119,-0.125000,2,9,27
120,-0.125000,2,9,27
121,-0.125000,2,9,27
122,-0.125000,2,9,27
123,-0.125000,2,9,27
124,-0.125000,2,9,27
125,-0.125000,2,9,27
126,-0.125000,2,9,27
127,-0.125000,2,9,27
128,-0.125000,2,9,27
129,-0.125000,2,9,27
130,-0.000000,6,9,46
