gen,fit,cross,rec,size,wires
0,-0.011071,29,1,26,41
1,-0.011071,29,1,26,41
2,-0.011071,29,1,26,41
3,-0.010190,38,1,26,49
4,-0.008283,28,2,26,41
5,-0.008283,28,2,26,41
6,-0.008283,28,2,26,41
7,-0.008283,28,2,26,41
8,-0.008109,37,1,26,48
9,-0.008008,30,2,26,43
10,-0.008008,30,2,26,43
11,-0.008008,30,2,26,43
12,-0.007556,41,2,26,54
13,-0.007556,41,2,26,54
14,-0.007404,41,2,26,55
15,-0.007404,41,2,26,55
16,-0.007080,42,2,26,56
17,-0.007080,42,2,26,56
18,-0.006357,45,1,26,57
19,-0.006357,45,1,26,57
20,-0.006024,45,1,26,58
21,-0.005664,46,1,26,59
22,-0.005664,46,1,26,59
23,-0.005063,46,1,26,59
24,-0.004595,47,1,26,62
25,-0.004228,48,2,26,64
26,-0.003879,48,1,26,63
27,-0.003879,48,1,26,63
28,-0.002932,48,1,26,64
29,-0.002793,51,1,26,63
30,-0.002793,51,1,26,63
31,-0.002642,52,1,26,66
32,-0.002307,55,1,26,69
33,-0.002307,55,1,26,69
34,-0.002307,55,1,26,69
35,-0.002274,53,1,26,67
36,-0.002116,56,1,26,69
37,-0.002116,56,1,26,69
38,-0.002104,59,1,26,73
39,-0.002090,56,1,26,72
40,-0.002090,56,1,26,72
41,-0.002090,56,1,26,72
42,-0.002090,56,1,26,72
43,-0.002000,55,1,26,68
44,-0.002000,55,1,26,68
45,-0.002000,55,1,26,68
46,-0.002000,55,1,26,68
47,-0.001933,59,1,26,71
48,-0.001897,58,1,26,69
49,-0.001897,58,1,26,69
50,-0.001897,58,1,26,69
51,-0.001880,57,1,26,70
52,-0.001859,58,1,26,70
53,-0.001859,58,1,26,70
54,-0.001859,58,1,26,70
55,-0.001842,61,1,26,74
56,-0.001842,61,1,26,74
57,-0.001778,62,2,26,76
58,-0.001778,62,2,26,76
59,-0.001745,59,2,26,72
60,-0.001745,59,2,26,72
61,-0.001745,59,2,26,72
62,-0.001745,59,2,26,72
63,-0.001711,62,3,26,79
64,-0.001711,62,3,26,79
65,-0.001711,62,3,26,79
66,-0.001687,61,1,26,74
67,-0.001656,62,1,26,78
68,-0.001635,63,1,26,78
69,-0.001609,59,1,26,74
70,-0.001609,59,1,26,74
71,-0.001609,59,1,26,74
72,-0.001609,59,1,26,74
73,-0.001593,65,1,26,80
74,-0.001593,65,1,26,80
75,-0.001578,61,1,26,78
76,-0.001578,61,1,26,78
77,-0.001555,63,1,26,79
78,-0.001516,64,1,26,80
79,-0.001516,64,1,26,80
80,-0.001516,64,1,26,80
81,-0.001516,64,1,26,80
82,-0.001516,64,1,26,80
83,-0.001516,64,1,26,80
84,-0.001516,64,1,26,80
85,-0.001516,64,1,26,80
86,-0.001516,64,1,26,80
87,-0.001516,64,1,26,80
88,-0.001516,64,1,26,80
89,-0.001516,64,1,26,80
90,-0.001447,70,1,26,88
