idx,input_bits,target_value,output_bits,output_value,error
0,00000000,0.5000,00000001,0.5020,0.0020
1,00000010,0.5156,00100001,0.5176,0.0020
2,00000001,0.5625,01110001,0.5569,0.0056
3,00001101,0.6406,00100101,0.6431,0.0025
4,00001111,0.7500,01111101,0.7451,0.0049
5,00100000,0.5156,11000001,0.5137,0.0019
6,00100010,0.5312,00010001,0.5333,0.0021
7,00100001,0.5781,00101001,0.5804,0.0023
8,00101101,0.6562,01010101,0.6667,0.0104
9,00101111,0.7656,01111101,0.7451,0.0205
10,00010000,0.5625,11100001,0.5294,0.0331
11,00010010,0.5781,11110001,0.5608,0.0173
12,00010001,0.6250,11111001,0.6235,0.0015
13,00011101,0.7031,11001101,0.7020,0.0012
14,00011111,0.8125,01001011,0.8235,0.0110
15,11010000,0.6406,11110101,0.6863,0.0456
16,11010010,0.6562,10010101,0.6627,0.0065
17,11010001,0.7031,11110101,0.6863,0.0169
18,11011101,0.7812,00000011,0.7529,0.0283
19,11011111,0.8906,11010111,0.9216,0.0309
20,11110000,0.7500,11111101,0.7490,0.0010
21,11110010,0.7656,11111101,0.7490,0.0166
22,11110001,0.8125,11111101,0.7490,0.0635
23,11111101,0.8906,11000111,0.8902,0.0004
24,11111111,1.0000,11101111,0.9686,0.0314
