gen,fit,cross,rec,size,wires
0,-0.500000,17,0,19,25
1,-0.500000,17,0,19,25
2,-0.500000,17,0,19,25
3,-0.500000,17,0,19,25
4,-0.500000,17,0,19,25
5,-0.500000,17,0,19,25
6,-0.500000,17,0,19,25
7,-0.500000,17,0,19,25
8,-0.500000,17,0,19,25
9,-0.500000,17,0,19,25
10,-0.500000,17,0,19,25
11,-0.500000,17,0,19,25
12,-0.500000,17,0,19,25
13,-0.500000,17,0,19,25
14,-0.500000,17,0,19,25
15,-0.500000,17,0,19,25
16,-0.500000,17,0,19,25
17,-0.500000,17,0,19,25
18,-0.500000,17,0,19,25
19,-0.500000,17,0,19,25
20,-0.500000,17,0,19,25
21,-0.500000,17,0,19,25
22,-0.500000,17,0,19,25
23,-0.500000,17,0,19,25
24,-0.500000,17,0,19,25
25,-0.500000,17,0,19,25
26,-0.500000,17,0,19,25
27,-0.500000,17,0,19,25
28,-0.500000,17,0,19,25
29,-0.500000,17,0,19,25
30,-0.500000,17,0,19,25
31,-0.500000,17,0,19,25
32,-0.500000,17,0,19,25
33,-0.500000,17,0,19,25
34,-0.484375,13,2,10,19
35,-0.484375,13,2,10,19
36,-0.484375,13,2,10,19
37,-0.468750,19,2,10,24
38,-0.468750,19,2,10,24
39,-0.468750,19,2,10,24
40,-0.453125,21,2,10,26
41,-0.437500,18,1,9,22
42,-0.437500,18,1,9,22
43,-0.437500,18,1,9,22
44,-0.421875,20,1,9,24
45,-0.421875,20,1,9,24
46,-0.421875,20,1,9,24
47,-0.406250,20,2,9,25
48,-0.406250,20,2,9,25
49,-0.406250,20,2,9,25
50,-0.406250,20,2,9,25
51,-0.406250,20,2,9,25
52,-0.390625,19,1,9,23
53,-0.390625,19,1,9,23
54,-0.390625,19,1,9,23
55,-0.390625,19,1,9,23
56,-0.390625,19,1,9,23
57,-0.390625,19,1,9,23
58,-0.375000,20,1,9,25
59,-0.375000,20,1,9,25
60,-0.375000,20,1,9,25
61,-0.375000,20,1,9,25
62,-0.375000,20,1,9,25
63,-0.375000,20,1,9,25
64,-0.375000,20,1,9,25
65,-0.375000,20,1,9,25
66,-0.375000,20,1,9,25
67,-0.375000,20,1,9,25
68,-0.375000,20,1,9,25
69,-0.375000,20,1,9,25
70,-0.375000,20,1,9,25
71,-0.375000,20,1,9,25
72,-0.375000,20,1,9,25
73,-0.375000,20,1,9,25
74,-0.375000,20,1,9,25
75,-0.375000,20,1,9,25
76,-0.375000,20,1,9,25
77,-0.375000,20,1,9,25
78,-0.375000,20,1,9,25
79,-0.375000,20,1,9,25
80,-0.359375,23,1,9,28
81,-0.359375,23,1,9,28
82,-0.359375,23,1,9,28
83,-0.359375,23,1,9,28
84,-0.359375,23,1,9,28
85,-0.359375,23,1,9,28
86,-0.359375,23,1,9,28
87,-0.359375,23,1,9,28
88,-0.359375,23,1,9,28
89,-0.359375,23,1,9,28
90,-0.359375,23,1,9,28
91,-0.343750,26,2,9,33
92,-0.343750,26,2,9,33
93,-0.343750,26,2,9,33
94,-0.343750,26,2,9,33
95,-0.343750,26,2,9,33
96,-0.343750,26,2,9,33
97,-0.343750,26,2,9,33
98,-0.343750,26,2,9,33
99,-0.343750,26,2,9,33
100,-0.343750,26,2,9,33
101,-0.343750,26,2,9,33
102,-0.343750,26,2,9,33
103,-0.343750,26,2,9,33
104,-0.343750,26,2,9,33
105,-0.343750,26,2,9,33
106,-0.343750,26,2,9,33
107,-0.343750,26,2,9,33
108,-0.343750,26,2,9,33
109,-0.343750,26,2,9,33
110,-0.343750,26,2,9,33
111,-0.343750,26,2,9,33
112,-0.343750,26,2,9,33
113,-0.343750,26,2,9,33
114,-0.343750,26,2,9,33
115,-0.343750,26,2,9,33
116,-0.343750,26,2,9,33
117,-0.343750,26,2,9,33
118,-0.343750,26,2,9,33
119,-0.312500,29,2,9,35
120,-0.312500,29,2,9,35
121,-0.312500,29,2,9,35
122,-0.312500,29,2,9,35
123,-0.312500,29,2,9,35
124,-0.312500,29,2,9,35
125,-0.312500,29,2,9,35
126,-0.312500,29,2,9,35
127,-0.312500,29,2,9,35
128,-0.296875,31,2,9,37
129,-0.281250,32,2,9,38
130,-0.281250,32,2,9,38
131,-0.281250,32,2,9,38
132,-0.281250,32,2,9,38
133,-0.281250,32,2,9,38
134,-0.281250,32,2,9,38
135,-0.281250,32,2,9,38
136,-0.281250,32,2,9,38
137,-0.281250,32,2,9,38
138,-0.281250,32,2,9,38
139,-0.281250,32,2,9,38
140,-0.281250,32,2,9,38
141,-0.281250,32,2,9,38
142,-0.281250,32,2,9,38
143,-0.281250,32,2,9,38
144,-0.281250,32,2,9,38
145,-0.281250,32,2,9,38
146,-0.281250,32,2,9,38
147,-0.281250,32,2,9,38
148,-0.281250,32,2,9,38
149,-0.281250,32,2,9,38
150,-0.281250,32,2,9,38
151,-0.281250,32,2,9,38
152,-0.281250,32,2,9,38
153,-0.265625,31,3,9,38
154,-0.265625,31,3,9,38
