idx,input_bits,target_value,output_bits,output_value,error
0,000000,0.0000,0,0.0000,0.0000
1,100000,1.0000,1,1.0000,0.0000
2,010000,1.0000,1,1.0000,0.0000
3,110000,0.0000,0,0.0000,0.0000
4,001000,1.0000,1,1.0000,0.0000
5,101000,0.0000,0,0.0000,0.0000
6,011000,0.0000,0,0.0000,0.0000
7,111000,1.0000,1,1.0000,0.0000
8,000100,1.0000,1,1.0000,0.0000
9,100100,0.0000,0,0.0000,0.0000
10,010100,0.0000,0,0.0000,0.0000
11,110100,1.0000,1,1.0000,0.0000
12,001100,0.0000,0,0.0000,0.0000
13,101100,1.0000,1,1.0000,0.0000
14,011100,1.0000,1,1.0000,0.0000
15,111100,0.0000,0,0.0000,0.0000
16,000010,1.0000,1,1.0000,0.0000
17,100010,0.0000,0,0.0000,0.0000
18,010010,0.0000,1,1.0000,1.0000
19,110010,1.0000,1,1.0000,0.0000
20,001010,0.0000,0,0.0000,0.0000
21,101010,1.0000,0,0.0000,1.0000
22,011010,1.0000,1,1.0000,0.0000
23,111010,0.0000,0,0.0000,0.0000
24,000110,0.0000,0,0.0000,0.0000
25,100110,1.0000,1,1.0000,0.0000
26,010110,1.0000,1,1.0000,0.0000
27,110110,0.0000,0,0.0000,0.0000
28,001110,1.0000,1,1.0000,0.0000
29,101110,0.0000,0,0.0000,0.0000
30,011110,0.0000,0,0.0000,0.0000
31,111110,1.0000,1,1.0000,0.0000
32,000001,1.0000,1,1.0000,0.0000
33,100001,0.0000,0,0.0000,0.0000
34,010001,0.0000,1,1.0000,1.0000
35,110001,1.0000,1,1.0000,0.0000
36,001001,0.0000,0,0.0000,0.0000
37,101001,1.0000,1,1.0000,0.0000
38,011001,1.0000,1,1.0000,0.0000
39,111001,0.0000,0,0.0000,0.0000
40,000101,0.0000,0,0.0000,0.0000
41,100101,1.0000,1,1.0000,0.0000
42,010101,1.0000,1,1.0000,0.0000
43,110101,0.0000,0,0.0000,0.0000
44,001101,1.0000,1,1.0000,0.0000
45,101101,0.0000,0,0.0000,0.0000
46,011101,0.0000,0,0.0000,0.0000
47,111101,1.0000,1,1.0000,0.0000
48,000011,0.0000,0,0.0000,0.0000
49,100011,1.0000,1,1.0000,0.0000
50,010011,1.0000,1,1.0000,0.0000
51,110011,0.0000,0,0.0000,0.0000
52,001011,1.0000,1,1.0000,0.0000
53,101011,0.0000,0,0.0000,0.0000
54,011011,0.0000,1,1.0000,1.0000
55,111011,1.0000,1,1.0000,0.0000
56,000111,1.0000,1,1.0000,0.0000
57,100111,0.0000,0,0.0000,0.0000
58,010111,0.0000,0,0.0000,0.0000
59,110111,1.0000,1,1.0000,0.0000
60,001111,0.0000,0,0.0000,0.0000
61,101111,1.0000,1,1.0000,0.0000
62,011111,1.0000,1,1.0000,0.0000
63,111111,0.0000,0,0.0000,0.0000
