idx,input_bits,target_value,output_bits,output_value,error
0,0000,0.5000,00000101,0.6275,0.1275
1,0000,0.6006,00000101,0.6275,0.0268
2,1000,0.6972,10111101,0.7412,0.0440
3,1000,0.7856,10111101,0.7412,0.0445
4,0100,0.8624,00100111,0.8941,0.0317
5,0100,0.9243,00100111,0.8941,0.0302
6,1100,0.9689,00111111,0.9882,0.0194
7,1100,0.9942,00111111,0.9882,0.0060
8,0010,0.9994,10111111,0.9922,0.0072
9,0010,0.9840,10111111,0.9922,0.0081
10,1010,0.9489,00110111,0.9255,0.0234
11,1010,0.8954,00110111,0.9255,0.0301
12,0110,0.8257,11100011,0.7804,0.0453
13,0110,0.7427,11100011,0.7804,0.0377
14,1110,0.6497,11110001,0.5608,0.0889
15,1110,0.5506,11110001,0.5608,0.0102
16,0001,0.4494,01100110,0.4000,0.0494
17,0001,0.3503,01100110,0.4000,0.0497
18,1001,0.2573,11101100,0.2157,0.0417
19,1001,0.1743,11101100,0.2157,0.0414
20,0101,0.1046,00101000,0.0784,0.0262
21,0101,0.0511,00101000,0.0784,0.0273
22,1101,0.0160,01000000,0.0078,0.0081
23,1101,0.0006,01000000,0.0078,0.0072
24,0011,0.0058,10100000,0.0196,0.0138
25,0011,0.0311,10100000,0.0196,0.0115
26,1011,0.0757,11101000,0.0902,0.0145
27,1011,0.1376,11101000,0.0902,0.0474
28,0111,0.2144,11101100,0.2157,0.0013
29,0111,0.3028,11101100,0.2157,0.0871
30,1111,0.3994,00101110,0.4549,0.0556
31,1111,0.5000,00101110,0.4549,0.0451
