gen,fit,cross,rec,size,wires
0,-0.038462,28,2,26,40
1,-0.038462,28,2,26,40
2,-0.035894,31,1,26,40
3,-0.031000,34,0,26,47
4,-0.028408,29,0,26,40
5,-0.028258,22,0,26,34
6,-0.027906,25,1,26,36
7,-0.027906,25,1,26,36
8,-0.026804,28,2,26,40
9,-0.026804,28,2,26,40
10,-0.026309,26,2,26,38
11,-0.025779,26,2,26,41
12,-0.025779,26,2,26,41
13,-0.024957,32,2,26,45
14,-0.024463,34,2,26,48
15,-0.024463,34,2,26,48
16,-0.023337,34,2,26,48
17,-0.023337,34,2,26,48
18,-0.022726,29,1,26,41
19,-0.022631,32,2,26,44
20,-0.022392,35,3,26,48
21,-0.022392,35,3,26,48
22,-0.022392,35,3,26,48
23,-0.022392,35,3,26,48
24,-0.022392,35,3,26,48
25,-0.022392,35,3,26,48
26,-0.020903,17,1,16,25
27,-0.020903,17,1,16,25
28,-0.020903,17,1,16,25
29,-0.020428,17,1,16,24
30,-0.020015,19,1,16,28
31,-0.020015,19,1,16,28
32,-0.019605,20,1,16,27
33,-0.019229,21,2,16,32
34,-0.018877,22,2,16,31
35,-0.018877,22,2,16,31
36,-0.018877,22,2,16,31
37,-0.018877,22,2,16,31
38,-0.018877,22,2,16,31
39,-0.018852,25,2,16,35
40,-0.018695,21,2,16,31
41,-0.018484,28,2,16,39
42,-0.018484,28,2,16,39
43,-0.018450,27,2,16,39
44,-0.018450,27,2,16,39
45,-0.018450,27,2,16,39
46,-0.018407,27,2,16,40
47,-0.018258,27,3,16,41
48,-0.018258,27,3,16,41
49,-0.018238,30,3,16,43
50,-0.018214,30,2,16,43
51,-0.018214,30,2,16,43
52,-0.018214,30,2,16,43
53,-0.018214,30,2,16,43
54,-0.018214,30,2,16,43
55,-0.018141,33,3,16,48
56,-0.018101,33,2,16,50
57,-0.018004,31,3,16,46
58,-0.018004,31,3,16,46
59,-0.018004,31,3,16,46
60,-0.018004,31,3,16,46
61,-0.018004,31,3,16,46
62,-0.017816,32,3,16,47
63,-0.017816,32,3,16,47
64,-0.017816,32,3,16,47
65,-0.017816,32,3,16,47
66,-0.017816,32,3,16,47
67,-0.017816,32,3,16,47
68,-0.017816,32,3,16,47
69,-0.017786,33,3,16,50
70,-0.017786,33,3,16,50
71,-0.017786,33,3,16,50
72,-0.017786,33,3,16,50
73,-0.017786,33,3,16,50
74,-0.017786,33,3,16,50
75,-0.017786,33,3,16,50
76,-0.017765,36,4,16,56
77,-0.017765,36,4,16,56
78,-0.017765,36,4,16,56
79,-0.017765,36,4,16,56
80,-0.017765,36,4,16,56
81,-0.017765,36,4,16,56
82,-0.017765,36,4,16,56
83,-0.017765,36,4,16,56
84,-0.017765,36,4,16,56
85,-0.017765,36,4,16,56
86,-0.017765,36,4,16,56
87,-0.017765,36,4,16,56
88,-0.017765,36,4,16,56
89,-0.017765,36,4,16,56
90,-0.017765,36,4,16,56
91,-0.017765,36,4,16,56
92,-0.017765,36,4,16,56
93,-0.017765,36,4,16,56
94,-0.017765,36,4,16,56
95,-0.017765,36,4,16,56
96,-0.017765,36,4,16,56
97,-0.017765,36,4,16,56
98,-0.017765,36,4,16,56
99,-0.017765,36,4,16,56
100,-0.017765,36,4,16,56
101,-0.017765,36,4,16,56
102,-0.017765,36,4,16,56
103,-0.017765,36,4,16,56
104,-0.017714,44,5,16,68
105,-0.017714,44,5,16,68
106,-0.017714,44,5,16,68
107,-0.017714,44,5,16,68
108,-0.017714,44,5,16,68
109,-0.017714,44,5,16,68
110,-0.017714,44,5,16,68
